epoch,train_loss,val_loss,lr,elapsed_s
1,0.05595689,0.01985126,0.0009990232,269.65
2,0.01903853,0.01831092,0.0009960968,257.31
3,0.01616802,0.01537597,0.0009912322,257.19
4,0.01450456,0.01314125,0.0009844487,271.8
5,0.01330153,0.01306972,0.000975773,261.09
6,0.01227079,0.01121787,0.0009652394,259.51
7,0.01152718,0.01046447,0.0009528894,260.98
8,0.01094614,0.01020135,0.0009387718,259.47
9,0.01049176,0.00980348,0.0009229423,258.81
10,0.01022306,0.0110302,0.0009054634,260.54
11,0.01000959,0.01089411,0.0008864041,260.99
12,0.00963229,0.00896325,0.0008658395,259.59
13,0.0096352,0.00942779,0.0008438508,259.34
14,0.00939552,0.01106544,0.0008205249,256.95
15,0.00922005,0.01187011,0.0007959537,257.07
16,0.00901501,0.00860649,0.0007702343,257.47
17,0.00884319,0.00839152,0.0007434681,256.11
18,0.00877582,0.00842987,0.0007157607,255.3
19,0.00856882,0.0082651,0.0006872217,253.84
20,0.00847715,0.00813855,0.0006579634,258.84
21,0.0083224,0.00868258,0.0006281015,257.21
22,0.00818242,0.00789706,0.0005977538,260.0
23,0.00817292,0.00870993,0.00056704,258.41
24,0.00808929,0.00822681,0.0005360813,256.21
25,0.00797901,0.00801671,0.000505,252.12
26,0.00790202,0.00761273,0.0004739187,250.74
27,0.00782861,0.00760914,0.00044296,251.11
28,0.00768407,0.00741247,0.0004122462,250.73
29,0.00764777,0.00737752,0.0003818985,251.07
30,0.00757312,0.00756486,0.0003520366,255.75
31,0.00750214,0.00793827,0.0003227783,259.27
32,0.00744788,0.00728169,0.0002942393,254.59
33,0.00739063,0.00714842,0.0002665319,248.95
34,0.00732128,0.00725992,0.0002397657,251.42
35,0.00730447,0.00721702,0.0002140463,255.48
36,0.00723632,0.00699519,0.0001894751,254.54
37,0.00720016,0.00712203,0.0001661492,253.85
38,0.00713991,0.0068961,0.0001441605,253.85
39,0.0071267,0.00702661,0.0001235959,257.38
40,0.00709348,0.00702612,0.0001045366,252.83
41,0.0070492,0.00686954,8.70577e-05,252.28
42,0.0070385,0.00686026,7.12282e-05,253.19
43,0.00701423,0.00687557,5.71106e-05,255.11
44,0.00700173,0.00692675,4.47606e-05,253.13
45,0.00698698,0.00679318,3.4227e-05,249.51
46,0.00696869,0.00683302,2.55513e-05,250.88
47,0.00694473,0.00687526,1.87678e-05,253.46
48,0.00694024,0.00681562,1.39032e-05,256.54
49,0.00693168,0.00677301,1.09768e-05,255.57
50,0.00695154,0.0068181,1e-05,255.72
